0,0,0.999998,B-4,64,80,0,3
1,0,0.25,B-3,64,80,1,-4
2,0,0.25,D4,64,80,1,-2
3,0.25,0.499999,B-3,64,80,1,-4
4,0.25,0.499999,D4,64,80,1,-2
5,0.499999,0.749999,B-3,64,80,1,-4
6,0.499999,0.749999,D4,64,80,1,-2
7,0.749999,0.999998,B-3,64,80,1,-4
8,0.749999,0.999998,D4,64,80,1,-2
9,0.999998,1.25,B-3,64,80,1,-4
10,0.999998,1.25,D4,64,80,1,-2
11,1.25,1.5,B-4,64,80,0,3
12,1.25,1.5,B-3,64,80,1,-4
13,1.25,1.5,D4,64,80,1,-2
14,1.5,1.75,A4,64,80,0,1
15,1.5,1.75,B-3,64,80,1,-4
16,1.5,1.75,D4,64,80,1,-2
17,1.75,2,G#4,64,80,0,2
18,1.75,2,B-3,64,80,1,-4
19,1.75,2,D4,64,80,1,-2
20,2,2.25,G4,64,80,0,1
21,2,2.25,B-3,64,80,1,-4
22,2,2.25,E-4,64,80,1,-1
23,2.25,2.375,A4,64,80,0,2
24,2.25,2.5,B-3,64,80,1,-4
25,2.25,2.5,E-4,64,80,1,-1
26,2.375,2.5,B-4,64,80,0,3
27,2.5,2.62499,C5,64,80,0,1
28,2.5,2.74999,B-3,64,80,1,-4
29,2.5,2.74999,E-4,64,80,1,-1
30,2.62499,2.74999,D5,64,80,0,2
31,2.74999,2.87499,E-5,64,80,0,3
32,2.74999,2.99999,B-3,64,80,1,-4
33,2.74999,2.99999,E-4,64,80,1,-1
34,2.87499,2.99999,F5,64,80,0,1
35,2.99999,3.12499,G5,64,80,0,2
36,2.99999,3.24999,B-3,64,80,1,-4
37,2.99999,3.24999,E-4,64,80,1,-1
38,3.12499,3.24999,A5,64,80,0,3
39,3.24999,3.37499,B-5,64,80,0,4
40,3.24999,3.49999,B-3,64,80,1,-4
41,3.24999,3.49999,E-4,64,80,1,-1
42,3.37499,3.49999,A5,64,80,0,3
43,3.49999,3.62499,B-5,64,80,0,4
44,3.49999,3.74999,B-3,64,80,1,-4
45,3.49999,3.74999,E-4,64,80,1,-1
46,3.62499,3.74999,A5,64,80,0,3
47,3.74999,3.87499,B-5,64,80,0,4
48,3.74999,3.99999,B-3,64,80,1,-4
49,3.74999,3.99999,E-4,64,80,1,-1
50,3.87499,3.99999,G5,64,80,0,2
51,3.99999,4.99999,F5,64,80,0,1
52,3.99999,4.24999,B-3,64,80,1,-4
53,3.99999,4.24999,D4,64,80,1,-2
54,4.24999,4.49999,B-3,64,80,1,-4
55,4.24999,4.49999,D4,64,80,1,-2
56,4.49999,4.74999,B-3,64,80,1,-4
57,4.49999,4.74999,D4,64,80,1,-2
58,4.74999,4.99999,B-3,64,80,1,-4
59,4.74999,4.99999,D4,64,80,1,-2
60,4.99999,5.24999,B-3,64,80,1,-4
61,4.99999,5.24999,D4,64,80,1,-2
62,5.24999,5.49999,B-4,64,80,0,3
63,5.24999,5.49999,B-3,64,80,1,-4
64,5.24999,5.49999,D4,64,80,1,-2
65,5.49999,5.74999,A4,64,80,0,1
66,5.49999,5.74999,B-3,64,80,1,-4
67,5.49999,5.74999,D4,64,80,1,-2
68,5.74999,5.99999,G#4,64,80,0,2
69,5.74999,5.99999,B-3,64,80,1,-4
70,5.74999,5.99999,D4,64,80,1,-2
71,5.99999,6.24999,G4,64,80,0,1
72,5.99999,6.24999,B-3,64,80,1,-4
73,5.99999,6.24999,E-4,64,80,1,-1
74,6.24999,6.37499,A4,64,80,0,2
75,6.24999,6.49999,B-3,64,80,1,-4
76,6.24999,6.49999,E-4,64,80,1,-1
77,6.37499,6.49999,B-4,64,80,0,3
78,6.49999,6.62499,C5,64,80,0,1
79,6.49999,6.74999,B-3,64,80,1,-4
80,6.49999,6.74999,E-4,64,80,1,-1
81,6.62499,6.74999,D5,64,80,0,2
82,6.74999,6.87499,E-5,64,80,0,3
83,6.74999,6.99999,B-3,64,80,1,-4
84,6.74999,6.99999,E-4,64,80,1,-1
85,6.87499,6.99999,F5,64,80,0,1
86,6.99999,7.12499,G5,64,80,0,2
87,6.99999,7.24999,B-3,64,80,1,-4
88,6.99999,7.24999,E-4,64,80,1,-1
89,7.12499,7.24999,A5,64,80,0,3
90,7.24999,7.37499,B-5,64,80,0,4
